PMID/DOI,FILE_NAME,SOURCE,TITLE,INFORMATION
22936401,22936401,PubMed,Correlation between TGF-b1 expression and proteomic profiling induced by severe acute respiratory syndrome coronavirus papain-like protease, Papain like protease domain significantly increased TGF-?1 mRNA expression
24987391,24987391,PubMed,"Coronavirus infection, ER stress, apoptosis and innate immunity",Contains infromation about a number of pathways inolved in Coronavirus infection
25135833,25135833,PubMed,SARS-coronavirus open reading frame-9b suppresses innate immunity by targeting mitochondria and the MAVS/TRAF3/TRAF6 signalosome.,Summarizes information about  SARS-CoV uses ORF-9b to target host cell mitochondria to disable MAVS signaling
28659436,28659436,PubMed,Broad-spectrum antiviral GS-5734 inhibits both epidemic and zoonotic coronaviruses,"showed that a nucleotide prodrug, GS-5734, currently in clinical development for treatment of Ebola virus disease, can inhibit SARS-CoV and MERS-CoV"
29217279,29217279,PubMed,Wild-type human coronaviruses prefer cell-surface TMPRSS2 to endosomal cathepsins for cell entry.,Human coronavirus uses TMPRSS2 for cell entry in human hairway epithelial cells
30301856,30301856,PubMed,Complement Activation Contributes to Severe Acute Respiratory Syndrome Coronavirus Pathogenesis.,Coronavirus causes SARS mediated by complement activation
30310104,30310104,PubMed,Attenuation of replication by a 29 nucleotide deletion in SARS-coronavirus acquired during the early stages of human-to-human transmission.,The truncation of ORF8 (29?nt deletion) in severe acute respiratory syndrome coronavirus (SARS-CoV) decreased replication up to 23-fold.
30463975,30463975,PubMed,A Nanobody Targeting Viral Nonstructural Protein 9 Inhibits Porcine Reproductive and Respiratory Syndrome Virus Replication.,"TAT-Nb6, a nano body can be developed as an antiviral drug for the inhibition of Porcine reproductive and respiratory syndrome (PRRS)"
30761102,30761102,PubMed,Severe Acute Respiratory Syndrome Coronavirus Viroporin 3a Activates the NLRP3 Inflammasome,SARS-Cov-2 3a protein activated NLRP3 inflammasome complex
31233808,31233808,PubMed,Broad spectrum antiviral remdesivir inhibits human endemic and zoonotic deltacoronaviruses with a highly divergent RNA dependent RNA polymerase.,Remdesivir inhibits deltacoronaviruses by targeting the viral RNA dependent RNA polymerase (RdRp)
31724441,31724441,PubMed,Inhibition of SARS-CoV 3CL protease by flavonoids.,Flavanoids inhibits SARS-CoV 3CL-protease
31986264,31986264,PubMed,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China.",Insights into the clinical features of patients affected with COVID-19
31987001,31987001,PubMed,Genomic characterization of the 2019 novel human-pathogenic coronavirus isolated from a patient with atypical pneumonia after visiting Wuhan,Genomic characterization of SARS-CoV2
32081636,32081636,PubMed,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and coronavirus disease-2019 (COVID-19): The epidemic and the challenges,Contains certain known and potential drugs for treatment
32083328,32083328,PubMed,COVID-2019: The role of the nsp2 and nsp3 in its pathogenesis.,Role of NSP2 and NSP3 proteins in COVID-19
32094589,32094589,PubMed,Functional assessment of cell entry and receptor usage for SARS-CoV-2 and other lineage B betacoronaviruses.,Summaries information about protease processing during viral entry for lineage B(betacoronaviruses) viruses and that bypassing the barrier allows lineage B (betacoronaviruses) viruses to enter human cells through an unknown receptor.
32104915,32104915,PubMed,The neuroinvasive potential of SARS-CoV2 may play a role in the respiratory failure of COVID-19 patients.,Coronaviruses are not always confined to the respiratory tract and that they may also invade the central nervous system inducing neurological diseases.
32109013,32109013,PubMed,Clinical Characteristics of Coronavirus Disease 2019 in China.,Clinical outcomes and treatment for COVID-19
32113509,32113509,PubMed,COVID-19: combining antiviral and anti-inflammatory treatments,Treatment options for COVID-19 pateints
32113704,32113704,PubMed,The epidemiology and pathogenesis of coronavirus disease (COVID-19) outbreak.,Explains about the pathogenesis of the disease
32119961,32119961,PubMed,"Anti-HCV, nucleotide inhibitors, repurposing against COVID-19",Summarizes a lit of drugs useful for treatment of COVID-19
32120929,32120929,PubMed,Antiviral Action of Tryptanthrin Isolated from Strobilanthes cusia Leaf against Human Coronavirus NL63.,The study identifies tryptanthrin as the key active component of S. cusia leaf methanol extract that acts against HCoV-NL63 in a cell-type independent manner.
32125140,32125140,PubMed,Broad Spectrum Antiviral Agent Niclosamide and Its Therapeutic Potential.,Summarize the broad antiviral activity of niclosamide and highlight its potential clinical use in the treatment of COVID-19.
32125455,32125455,PubMed,Angiotensin-converting enzyme 2 (ACE2) as a SARS-CoV-2 receptor: molecular mechanisms and potential therapeutic target.,briefly review the rationale for angiotensin-converting enzyme 2 (ACE2) receptor as a specific target.
32129518,32129518,PubMed,Angiotensin receptor blockers as tentative SARS-CoV-2 therapeutics,Angiotensin receptor 1 (AT1R) blockers can be used as therapeutics for reducing the aggressiveness of SARS-CoV-2 virus infections
32130973,32130973,PubMed,A potential role for integrins in host cell entry by SARS-CoV-2.,"SARS-CoV-2  binds to the  alternative receptor, integrin though RGD motif in the spike protein of SARS-CoV-2"
32132669,32132669,PubMed,Novel antibody epitopes dominate the antigenicity of spike glycoprotein in SARS-CoV-2 compared to SARS-CoV.,Sequence comparison between SARS and COVID spike protein
32142651,32142651,PubMed,SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor.,SARS-CoV-2 uses the SARS-CoV receptor ACE2 for entry and the serine protease TMPRSS2 for S protein priming.
32142773,32142773,PubMed,Evidence for Gastrointestinal Infection of SARS-CoV-2,Association of gastrointestinal infection with COVID
32142938,32142938,PubMed,Nonstructural proteins NS7b and NS8 are likely to be phylogenetically associated with evolution of 2019-nCoV.,They speculated that knowledge of the functional changes in the NS7b and NS8 proteins during evolution may provide important information to explore the human infective property of 2019-nCoV.
32147628,32147628,PubMed,Discovering drugs to treat coronavirus disease 2019 (COVID-19).,Summarize different drugs in the treatment of coronavirus disease 2019 (COVID-19)
32155444,32155444,PubMed,"Structure, Function, and Antigenicity of the SARS-CoV-2 Spike Glycoprotein","SARS-CoV-2 S uses ACE2 to enter cells and that the receptor-binding domains of SARS-CoV-2 S and SARS-CoV S bind with similar affinities to human ACE2, correlating with the efficient spread of SARS-CoV-2 among humans."
32165541,32165541,PubMed,Enhanced isolation of SARS-CoV-2 by TMPRSS2- expressing cells,Cells expressing TMPRSS2 have increased susceptibility to SARS-CoV-2
32166483,32166483,PubMed,Pharmaceutical care recommendations for antiviral treatments in children with coronavirus disease 2019,Drugs used to treat COVID-19 affected children
32167166,32167166,PubMed,An exclusive 42 amino acid signature in pp1ab protein provides insights into the evolutive history of the 2019 novel human-pathogenic coronavirus (SARS-CoV-2).,42 amino acid signature that is only present in pp1ab protein of SARS-CoV-2 suggest that the novel 2019 coronavirus probably emerged by genetic drift from bat-SL-CoV-RaTG13.
32167524,32167524,PubMed,"Risk Factors Associated With Acute Respiratory Distress Syndrome and Death in Patients With Coronavirus Disease 2019 Pneumonia in Wuhan, China.",Summarizes the risk factors associated with Acute Respiratory Distress Syndrome and death in COVID-19
32169119,32169119,PubMed,"The origin, transmission and clinical therapies on coronavirus disease 2019 (COVID-19) outbreak - an update on the status.",Contains infromation about the SARS-CoV-2 virus
32169481,32169481,PubMed,COVID-19 spike-host cell receptor GRP78 binding site prediction.,"In this study, the COVID-19 spike binding site to the cell-surface receptor (Glucose Regulated Protein 78 (GRP78)) is predicted using combined molecular modeling docking and structural bioinformatics. The COVID-19 spike protein is modeled using its counterpart, the SARS spike."
32170560,32170560,PubMed,Single-cell RNA-seq data analysis on the receptor ACE2 expression reveals the potential risk of different human organs vulnerable to 2019-nCoV infection,RNA seq analysis to find which organs are at COVID-19 infection risk
32171076,32171076,PubMed,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study.","The potential risk factors of older age, high SOFA score, and d-dimer greater than 1 ?g/mL could help clinicians to identify patients with poor prognosis at an early stage. Prolonged viral shedding provides the rationale for a strategy of isolation of infected patients and optimal antiviral interventions in the future."
32171193,32171193,PubMed,Induction of pro-inflammatory cytokines (IL-1 and IL-6) and lung inflammation by Coronavirus-19 (COVI-19 or SARS-CoV-2): anti-inflammatory strategies.,Suppression of pro-inflammatory cytokines by inhibitory cytokines  provides a new relevant strategy for the treatment of COVID-19
32171740,32171740,PubMed,New insights on the antiviral effects of chloroquine against coronavirus: what to expect for COVID-19? ,Explains the mode of action of chloroquine
32172669,32172669,PubMed,Diagnosis and clinical management of severe acute respiratory syndrome Coronavirus 2 (SARS-CoV-2) infection: an operational recommendation of Peking Union Medical College Hospital (V2.0),Summarize different diagnosis and possible treatment options for Covid-19
32173110,32173110,PubMed,A systematic review on the efficacy and safety of chloroquine for the treatment of COVID-19.,Chloroquine seems to be effective in limiting the replication of SARS-CoV-2 (virus causing COVID-19) in vitro.
32173241,32173241,PubMed,"Asymptomatic carrier state, acute respiratory disease, and pneumonia due to severe acute respiratory syndrome coronavirus (SARS-CoV-2): Facts and myths.",Contains a list of symptoms observed in the disease along with some drug-target infromation
32173287,32173287,PubMed,Potential inhibitors against 2019-nCoV coronavirus M protease from clinically approved medicines. ,Explains about poteins drug-targets for treatment of COVID-19
32173576,32173576,PubMed,Patients of COVID-19 may benefit from sustained lopinavir-combined regimen and the increase of eosinophil may predict the outcome of COVID-19 progression,Patients of COVID-19 may benefit from sustained lopinavir-combined regimen
32176772,32176772,PubMed,"Clinical Features of 69 Cases with Coronavirus Disease 2019 in Wuhan, China.",Explains about symptoms for COVID-19 and arbidol as a potential drug
32178547,32178547,PubMed,Challenges and Countermeasures of Integrative Cancer Therapy in the Epidemic of COVID-19,Treatment options for COVID pateints with cancer
32178593,32178593,PubMed,Emerging WuHan (COVID-19) coronavirus: glycan shield and structure prediction of spike glycoprotein and its interaction with human CD26.,Their findings accentuate the unique features of COVID-19 and assist in the development of new therapeutics.
32178711,32178711,PubMed,Treatment of COVID-19: old tricks for new challenges.,Treatment options for COVID-19 pateints
32179150,32179150,PubMed,Teicoplanin: an alternative drug for the treatment of COVID-19?,"Teicoplanin, an antibiotic used to treat staphylococcal infections can be used for the treatment of patients with SARS-Cov-2"
32186711,32186711,PubMed,Hypothesis: angiotensin-converting enzyme inhibitors and angiotensin receptor blockers may increase the risk of severe COVID-19,"Intravenous infusions of angiotensin-converting enzyme inhibitors and angiotensin receptor blockers can increase the numbers of angiotensin-converting enzyme 2 (ACE2) receptors,increasing the risk of Covid-19 infection"
32186952,32186952,PubMed,"COVID-19, an emerging coronavirus infection: advances and prospects in designing and developing vaccines, immunotherapeutics, and therapeutics.",Possible therapeutic approaches for COVID-19
32187463,32187463,PubMed,Covid-19 - The Search for Effective Therapy.,deals about specific drugs to treat COVID
32187464,32187464,PubMed,A Trial of Lopinavir-Ritonavir in Adults Hospitalized with Severe Covid-19.,Drugs used to treat COVID-19 pateints and the adverse events
32188729,32188729,PubMed,Coronavirus Endoribonuclease and Deubiquitinating Interferon Antagonists Differentially Modulate the Host Response during Replication in Macrophages.,Deubiquitinase (DUB) and  endoribonuclease (EndoU) contributes to the ability of coronaviruses to evade the host innate response and to replicate in macrophages.
32188753,32188753,PubMed,"COVID-19: Knowns, Unknowns, and Questions.",Insights into COVID-19
32189136,32189136,PubMed,Lower mortality of COVID-19 by early recognition and intervention: experience from Jiangsu Province,Early intervention of COVID-19 cases
32190290,32190290,PubMed,SARS-CoV-2 and COVID-19: The most important research questions.,"Highlight nine most important research questions concerning virus transmission, asymptomatic and presymptomatic virus shedding, diagnosis, treatment, vaccine development, origin of virus and viral pathogenesis."
32192578,32192578,PubMed,COVID-19: consider cytokine storm syndromes and immunosuppression,Insigths on cytokine storm syndrome in COVID-19
32193831,32193831,PubMed,Clinical features of severe pediatric patients with coronavirus disease 2019 in Wuhan: a single center's observational study,Clinical details of pediatric COVID-19 cases
32194980,32194980,PubMed,Network-based drug repurposing for novel coronavirus 2019-nCoV/SARS-CoV-2,Bioinformatic analysis of possible drug targets for COVID-19
32196678,32196678,PubMed,Eleven faces of coronavirus disease 2019.,Eleven different clinical characteristics of COVID-19
32198291,32198291,PubMed,Crystal structure of SARS-CoV-2 main protease provides a basis for design of improved a-ketoamide inhibitors,Structural and sequence analysis of COVID-19 protein and drug targets
32198713,32198713,PubMed,A Unique Protease Cleavage Site Predicted in the Spike Protein of the Novel Pneumonia Coronavirus (2019-nCoV) Potentially Related to Viral Transmissibility.,sequence analysis on the S protein of 2019-nCoV has predicted a novel furin cleavage site at S1/S2 linkage
32201080,32201080,PubMed,Spike protein recognition of mammalian ACE2 predicts the host range and an optimized ACE2 for SARS-CoV-2 infection.,Species wide analysis for SARS-CoV spike protein recognition of ACE2
32203186,32203186,PubMed,Elevated exhaustion levels and reduced functional diversity of T cells in peripheral blood may predict severe progression in COVID-19 patients.,study identified potential immunological risk factors for COVID-19 pneumonia and provided clues for its clinical treatment.
32203189,32203189,PubMed,Characterization of the receptor-binding domain (RBD) of 2019 novel coronavirus: implication for development of RBD protein as a viral attachment inhibitor and vaccine,"Role of Spike protein in viral attachement, fusion and entry, and  as a target for development of antibodies, entry inhibitors and vaccines"
32205856,32205856,PubMed,COVID-19 infection: the perspectives on immune responses,Discusses various immune pathways involved in Covid-19 infection
32213337,32213337,PubMed,Temporal profiles of viral load in posterior oropharyngeal saliva samples and serum antibody responses during infection by SARS-CoV-2: an observational cohort study,Covid-19 infection leads to increased viral load in saliva
32213556,32213556,PubMed,"Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms",Covid-19 can cause comorbid gastrointestinal symptoms
32215589,32215589,PubMed,Antibodies in Infants Born to Mothers With COVID-19 Pneumonia,Covid-19 can be transmitted from infected mothers to infants
32215598,32215598,PubMed,"Neonatal Early-Onset Infection With SARS-CoV-2 in 33 Neonates Born to Mothers With COVID-19 in Wuhan, China.",Neonates born to affected mothers are found to have COVID-19 disease
32215613,32215613,PubMed,Is There an Association Between COVID-19 Mortality and the Renin-Angiotensin System-a Call for Epidemiologic Investigations.,proposed key clinical research priorities necessary to clarify the role of RAS inhibition in COVID-19 mortality that could be rapidly addressed by the international research community.
32216698,32216698,PubMed,Elevated Plasmin(ogen) as a Common Risk Factor for COVID-19 Susceptibility,Role of plasminogen in COVID-19
32216803,32216803,PubMed,"Analysis of clinical characteristics and laboratory findings of 95 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a retrospective analysis.",clinical details of COVID-19 cases
32216961,32216961,PubMed,Imaging manifestations and diagnostic value of chest CT of coronavirus disease 2019 (COVID-19) in the Xiaogan area.,clinical details of COVID-19 cases
32217556,32217556,PubMed,Clinical characteristics of 113 deceased patients with coronavirus disease 2019: retrospective study.,Summarizes the clinical characteristics of  patients with coronavirus disease 2019
32217650,32217650,PubMed,Comorbidity and its impact on 1590 patients with Covid-19 in China: A Nationwide Analysis.,COVID-19 comorbidities
32217835,32217835,PubMed,Clinical and immunologic features in severe and moderate Coronavirus Disease 2019,clinical details of COVID-19 cases
32218301,32218301,PubMed,Synthesis and Biological Evaluation of Novel (thio)semicarbazone-Based Benzimidazoles as Antiviral Agents against Human Respiratory Viruses.,(thio)semicarbazone- and hydrazone-based benzimidazoles derivatives can act as antiviral agents against Human Respiratory Viruses
32219356,32219356,PubMed,Cardiovascular Implications of Fatal Outcomes of Patients With Coronavirus Disease 2019 (COVID-19).,Role of myocardial injury in the fatal outcome of COVID-19
32220278,32220278,PubMed,Immunosuppression for hyperinflammation in COVID-19: a doubleedged sword?,Possible beneficial effects of reducing inflammation is discussed
32220422,32220422,PubMed,The host's angiotensin-converting enzyme polymorphism may explain epidemiological findings in COVID-19 infections.,ACE1 D/I polymorphism may be regarded as a confounder in the spread of COVID-19 and the outcome of the infection in various European populations.
32220633,32220633,PubMed,Could Sars-coronavirus-2 trigger autoimmune and/or autoinflammatory mechanisms in genetically predisposed subjects?,"Summaries information about genetic polymorphisms, that may contribute to virus susceptibility, in specific populations and ethnicities. Pathogenic mechanism between hyper-inflammatory diseases and COVID-19 may suggest that SARS-CoV-2 could act as a triggering factor for the development of a rapid autoimmune and/or autoinflammatory dysregulation, leading to severe interstitial pneumonia, in genetic predisposed individuals"
32220710,32220710,PubMed,Renin-angiotensin system: The unexpected flaw inside the human immune system revealed by SARS-CoV-2,Potetial treatment option for Covid-19 using ACE2 inhibitors
32221133,32221133,PubMed,Detection of serum immunoglobulin M and immunoglobulin G antibodies in 2019-novel coronavirus infected cases from different stages.,case studies about different immunoglobulin levels at different stages of disease
32221306,32221306,PubMed,Characterization of spike glycoprotein of SARS-CoV-2 on virus entry and its immune cross-reactivity with SARS-CoV.,Details on Spike glycoprotein of SARS-CoV and its cross reactivity with SARS-CoV
32221983,32221983,PubMed,Organ-protective effect of angiotensin-converting enzyme 2 and its effect on the prognosis of COVID-19.,This article reviews the correlation between angiotensin-converting enzyme 2 (ACE2) and severe risk factors for coronavirus disease 2019 (COVID-19) and the possible mechanisms.
32222466,32222466,PubMed,The Use of Anti-Inflammatory Drugs in the Treatment of People With Severe Coronavirus Disease 2019 (COVID-19): The Perspectives of Clinical Immunologists From China,Describes the role of different anti-Inflammatory drugs in the treatment of  Severe Coronavirus Disease 2019 (COVID-19)
32224164,32224164,PubMed,COVID-19 and diabetes: Can DPP4 inhibition play a role?,Role of DPP4 in COVID-19- infected individuals with type 2 diabetes.
32227090,32227090,PubMed,The ACE2 expression in human heart indicates new potential mechanism of heart injury among patients infected with SARS-CoV-2,Increased ACE2 expression has increased risk of heart failure during Civd-19 infection
32227760,32227760,PubMed,Renin-Angiotensin-Aldosterone System Inhibitors in Patients with Covid-19.,Studied about RAAS blockers
32227916,32227916,PubMed,Nano Research for COVID-19.,"Importance of nanotechnology in the fight against COVID-19 in point of diagnostics, therapeutics, and vaccine development."
32228222,32228222,PubMed,Renin-angiotensin system inhibitors improve the clinical outcomes of COVID-19 patients with hypertension.,RAS inhibitor or angiotensin blockers reduces Covid symptoms and death
32228226,32228226,PubMed,Transcriptomic characteristics of bronchoalveolar lavage fluid and peripheral blood mononuclear cells in COVID-19 patients.,RNA level Analysis of  bronchoalveolar lavage fluid and peripheral blood mononuclear cells in COVID-19 patients
32231345,32231345,PubMed,Inhibition of SARS-CoV-2 (previously 2019-nCoV) infection by a highly potent pan-coronavirus fusion inhibitor targeting its spike protein that harbors a high capacity to mediate membrane fusion,Therapeutic approach for COVID-19 treatment
32232214,32232214,PubMed,Potential Treatments for COVID-19; a Narrative Literature Review,A review of various treatment options for Covid-19
32246845,32246845,PubMed,SARS-CoV-2 receptor ACE2 and TMPRSS2 are predominantly expressed in a transient secretory cell type in subsegmental bronchial branches, ACE2 and TMPRSS2 are expressed and distributed across different cell types in lung tissue  and in cells derived from subsegmental bronchial branches
32251768,32251768,PubMed,The FDA-approved Drug Ivermectin inhibits the replication of SARS-CoV-2 in vitro,Ivermectin as potential drug for COVID-19
32334118,32334118,PubMed,Clinical value of immune-inflammatory parameters to assess the severity of coronavirus disease 2019,"High level of IL-6, CRP and hypertension were independent risk factors for assessing the severity of COVID-19."
32339248,32339248,PubMed,Effect of High vs Low Doses of Chloroquine Diphosphate as Adjunctive Therapy for Patients Hospitalized With Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection: A Randomized Clinical Trial.,This study deals with the effect of high vs low doses of chloroquine diphosphate as adjunctive therapy for patients hospitalized with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) Infection: A Randomized Clinical Trial.
32344321,32344321,PubMed,"Prognostic value of interleukin-6, C-reactive protein, and procalcitonin in patients with COVID-19.",The serum levels of IL-6 and CRP can effectively assess disease severity and predict outcome in patients with COVID-19
32345579,32345579,PubMed,Clinical characteristics and outcomes of patients with severe covid-19 with diabetes.,Diabetes may lead to an increase in the risk of death in patients with severe covid-19
32358956,32358956,PubMed,Longitudinal Change of SARS-Cov2 Antibodies in Patients with COVID-19.,"The potential relationships between immune antibodies , IgG and IgM and disease progression in COVID-19 patients"
32359177,32359177,PubMed,Longitudinal association between markers of liver injury and mortality in COVID-19 in China.,"Elevated liver injury indicators, particularly AST, are strongly associated with the mortality risk of COVID-19 patients"
32359205,32359205,PubMed,2019 Novel Coronavirus Disease (COVID-19) in patients with Inflammatory Bowel Diseases.,This study reveals how IBD symptoms are associated with COVID-19 or IBD as a comorbidity of COVID-19
32361738,32361738,PubMed,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Hospitalized Patients in Wuhan, China.",RIsk factors associated with clinical outcome in COVID-19 patients
 https://doi.org/10.1101/2020.04.12.20062380,GuoAX_et.al_2020,MedRxiv,The clinical characteristics and mortal causes analysis of COVID-19 death patients,Clinical characteristics and outcomes from patients from China
 https://doi.org/10.1101/2020.04.13.20063545,Rossi_et.al_2020,medRxiv,"Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio Emilia, Italy",Clinical characteristics and outcomes from patients from Italy
https://doi.org//10.1101/2020.02.18.20024364,Diao_et.al_2020,medRxiv,Reduction and Functional Exhaustion of T Cells in Patients with Coronavirus Disease 2019 (COVID-19),Covid-19 causes reduction in T cell number and activity
https://doi.org/10.1021/acsomega.0c00772,Thuy_et.al_2020,pubs.acs.org,Investigation into SARS-CoV-2 Resistance of Compounds in Garlic Essential Oil,"Docking studies done from components in garlic essential oil which exhibit good inhibition of the ACE2 and PDB6LU7 proteins. Garlic essential oil is natural antivirus source, which contributes to preventing the invasion of coronavirus into the human body."
https://doi.org/10.1038/s41591-020-0819-2,Thevarajan_et.al_2020,Nature Medicine,Breadth of concomitant immune responses prior to patient recovery: a case report of non-severe COVID-19,"Immune responses - recruitment of immune cell populations (ASCs, TFH cells and activated CD4+ and CD8+ T cells), together with IgM and IgG SARS-CoV-2-binding antibodies, in the patients blood before the resolution of symptoms during a non-severe case of COVID-19."
https://doi.org/10.1101/2020.02.05.935387,Zhang_et.al_2020,bioRxiv,Teicoplanin potently blocks the cell entry of 2019-nCoV,Novel potential entry mechanism from the virus to host cell and teicoplanin as potential drug
https://doi.org/10.1101/2020.02.06.20020974,Guan_et.al_2020,MedRxiv,Clinical characteristics of 2019 novel corona virus infection in China,Clinical charateristics of COVID-19 cases.
https://doi.org/10.1101/2020.02.08.926006,Meng_et.al_2020,biorxiv,The insert sequence in SARS-CoV-2 enhances spike protein cleavage by TMPRS,TMPRSS mediates cleavage of SARS cov
https://doi.org/10.1101/2020.02.23.20026690,Liao_et.al_2020,medRxiv,The landscape of lung bronchoalveolar immune cells in COVID-19 revealed by single-cell RNA sequencing,Insights into the lung immune microenvironment during COVID-19 infection
https://doi.org/10.1101/2020.02.27.20027557,Liu_X_et.al_2020,medRxiv,Therapeutic effects of dipyridamole on COVID-19 patients with coagulation dysfunction,"HCoV-19 infected patients could potentially benefit from  dipyridamole  adjunctive therapy by reducing viral replication, suppressing hypercoagulability and enhancing immune recovery."
https://doi.org/10.1101/2020.03.02.20029975,Yang_et.al_2020,medRxiv,"Exuberant elevation of IP-10, MCP-3 and IL-1ra during SARS-CoV-2 infection is associated with disease severity and fatal outcome",Studies about the cytokine strome in COVID 19
https://doi.org/10.1101/2020.03.04.20031237,Rao_et.al_2020,medRxiv,"Exploring diseases/traits and blood proteins causally related to expression of ACE2, the putative receptor of 2019-nCov: A Mendelian Randomization analysis",Deals with diseases/traits and blood proteins that may be causally linked to ACE2 expression in the lung.
https://doi.org/10.1101/2020.03.05.979260,Pfaender_et.al_2020,biorxiv,LY6E impairs coronavirus fusion and confers immune control of viral disease,"They show that interferon-inducible lymphocyte antigen 6 complex, locus E (LY6E) potently restricts cellular infection by multiple CoVs, including SARS-CoV, SARS-CoV-2, and Middle East respiratory syndrome coronavirus (MERS-CoV)."
https://doi.org/10.1101/2020.03.07.982264,Lokugamage_et.al_2020,biorxiv,SARS-CoV-2 is sensitive to type I interferon pretreatment,"With the ongoing outbreak of COVID-19 disease, differences between the SARS-CoV-2 and the original SARS-CoV could be leveraged to inform disease progression and eventual treatment options. In addition, these findings could have key implications for animal model development as well as further research into how SARS-CoV-2 modulates the type I IFN response early during infection."
https://doi.org/10.1101/2020.03.10.986398,Brielle_et.al_2020,bioRxiv,The SARS-CoV-2 exerts a distinctive strategy for interacting with the ACE2 human receptor,Mechanism of SARS-CoV-2 S protein and ACE2 receptor interaction
https://doi.org/10.1101/2020.03.13.990226,Bao_et.al_2020,bioRxiv,Reinfection could not occur in SARS-CoV-2 infected rhesus macaques,"Primary SARS-CoV-2 infection could protect from subsequent exposures, which have the reference of prognosis of the disease and vital implications for vaccine design"
